iter	Passed	Remaining
399	46557	69836
400	46641	69671
401	46713	69488
402	46792	69317
403	46869	69144
404	47504	69789
405	47702	69791
406	47782	69619
407	47995	69641
408	48253	69725
409	48356	69586
410	48433	69409
411	48762	69592
412	49019	69672
413	49238	69694
414	50352	70978
415	50431	70798
416	50588	70727
417	50654	70528
418	50716	70325
419	50778	70122
420	50838	69918
421	50911	69731
422	51033	69612
423	51130	69460
424	51194	69263
425	51299	69122
426	51418	68999
427	51537	68877
428	51676	68781
429	51790	68652
430	51852	68454
431	51910	68252
432	52000	68092
433	52067	67903
434	52132	67712
435	52214	67543
436	52286	67361
437	52353	67174
438	52417	66984
439	52477	66790
440	52550	66612
441	52605	66411
442	52680	66236
443	52750	66056
444	52823	65881
445	52887	65694
446	52948	65504
447	53017	65325
448	53100	65162
449	53163	64977
450	53230	64797
451	53287	64605
452	53367	64442
453	53433	64260
454	53501	64083
455	53565	63902
456	53638	63732
457	53698	63547
458	53765	63370
459	53848	63213
460	53920	63043
461	54009	62893
462	54086	62731
463	54145	62547
464	54226	62389
465	54288	62209
466	54386	62073
467	54637	62108
468	54790	62033
469	54913	61923
470	54999	61772
471	55077	61611
472	55143	61439
473	55207	61264
474	55279	61098
475	55474	61068
476	55559	60917
477	55710	60838
478	55869	60768
479	56010	60678
480	56109	60542
481	56276	60479
482	56479	60455
483	56554	60293
484	56744	60254
485	56905	60184
486	57003	60046
487	57089	59896
488	57202	59775
489	57733	60090
490	57841	59962
491	57982	59868
492	58094	59743
493	58174	59587
494	58318	59496
495	58418	59360
496	58513	59219
497	58585	59056
498	58656	58891
499	58728	58728
500	58799	58564
501	58868	58399
502	58991	58287
503	59390	58448
504	59456	58279
505	59505	58093
506	59574	57929
507	59634	57756
508	59706	57595
509	59764	57420
510	59840	57264
511	59901	57093
512	60040	56997
513	60098	56824
514	60194	56688
515	60272	56534
516	60330	56363
517	60393	56196
518	60470	56042
519	60542	55885
520	60602	55717
521	60667	55553
522	60792	55445
523	60894	55316
524	61042	55229
525	61122	55079
526	61188	54918
527	61236	54741
528	61308	54586
529	61374	54426
530	61430	54257
531	61498	54100
532	61563	53940
533	61626	53779
534	61704	53630
535	61760	53464
536	61869	53344
537	62045	53280
538	62281	53268
539	62446	53195
540	62546	53066
541	62685	52970
542	62800	52854
543	62862	52693
544	62936	52543
545	63020	52401
546	63105	52260
547	63211	52137
548	63277	51982
549	63335	51819
550	63390	51656
551	63466	51508
552	63511	51337
553	63582	51187
554	63641	51027
